id,name,structure,parent_id,brand,dimension,installation_type,material,package_content,warranty
5805,Table Top Wash Basin - Solo-6003,standalone,,SONET,405x405 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5804,Table Top Wash Basin - Solo,standalone,,SONET,405x405 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5803,Table Top Wash Basin - Leo-12003,standalone,,SONET,430x320x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5802,Table Top Wash Basin - Leo,standalone,,,,,,,
5801,Table Top Wash Basin - Diamond,standalone,,SONET,530x430x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5800,Table Top Wash Basin - Titanium-001,standalone,,SONET,535x400x160 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5799,"Table Top Wash Basin - Titanium 28""x18""",standalone,,SONET,535x400x160 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5798,Table Top Wash Basin - Rolex,standalone,,SONET,560x400x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5797,Table Top Wash Basin - Cover-7022,standalone,,SONET,700x350x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5796,Table Top Wash Basin - Cover-7021,standalone,,SONET,700x350x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5795,"Table Top Wash Basin - Cover 20""x14""",standalone,,SONET,700x350x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5794,Table Top Wash Basin - Fox-001,standalone,,SONET,480x480 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5793,Table Top Wash Basin - Fox,standalone,,SONET,480x480 MM,TABLE TOP,CERAMIC,<p>One Wash Basin Only</p>,7 YEARS
5792,Table Top Wash Basin - Trio-002,standalone,,SONET,370x370x145,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5791,Table Top Wash Basin - Trio-001,standalone,,SONET,370x370x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5790,Table Top Wash Basin - Trio,standalone,,SONET,370x370x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5789,Table Top Wash Basin - Neon,standalone,,SONET,460x460 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5788,Wall Hung Wash Wash Basin - Light Weight,standalone,,SONET,390x390x130 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5787,"Wall Hung Wash Wash Basin - Silver 18"" x 14""",standalone,,SONET,470x455 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5786,"Wall Hung Wash Wash Basin - Niki 16""x 16""",standalone,,SONET,410x410 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5785,"Wall Hung Wash Wash Basin - Corner (16""x16"")",standalone,,SONET,410x410 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5784,"Wall Hung Wash Wash Basin - Kores 21"" x 17""",standalone,,SONET,540x425 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5783,"Wall Hung Wash Wash Basin - Corner (14""x14"")",standalone,,SONET,340x415 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5782,Wall Hung Wash Wash Basin - Beat,standalone,,SONET,305x305 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5781,"Wall Hung Wash Wash Basin - Golden 18"" x 14""",standalone,,SONET,460x360 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5780,"Wall Hung Wash Wash Basin - Levis 16"" x 16""",standalone,,SONET,410x410x120 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5779,"Wall Hung Wash Wash Basin - Sacmi 16"" x 16""",standalone,,SONET,400x410 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5778,"Wall Hung Wash Wash Basin - New Sandy 19"" x 12""",standalone,,SONET,455x320 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5777,Wall Hung Wash Wash Basin - Liva,standalone,,SONET,430x370 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5776,"Wall Hung Wash Wash Basin - Kohinoor 18"" x 12""",standalone,,SONET,450x310 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5775,"Wall Hung Wash Wash Basin - Enjoy 20"" x 15""",standalone,,SONET,500x400 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5774,"Wall Hung Wash Wash Basin - Matiz 18"" x 13""",standalone,,SONET,465x345 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5773,"Wall Hung Wash Wash Basin - Fabiya 18"" x 14""",standalone,,SONET,450x350 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5772,"Wall Hung Wash Wash Basin - Star 18"" x 10""",standalone,,SONET,460x270 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5771,"Wall Hung Wash Wash Basin - Simco 20"" x 16""",standalone,,SONET,510x415 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5770,Wall Hung Wash Wash Basin - Audi,standalone,,SONET,400x220 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5769,Wall Hung Wash Wash Basin - Goldy,standalone,,SONET,420x340 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5768,Wall Hung Wash Wash Basin - Rex,standalone,,SONET,410x275 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5767,Wall Hung Wash Wash Basin - Ravi,standalone,,SONET,355x290 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5766,Wall Hung Wash Wash Basin - Yeti,standalone,,SONET,360x255 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5765,Wall Hung Wash Wash Basin - Real,standalone,,SONET,300x245 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5764,Wall Hung Wash Wash Basin - Matrix,standalone,,SONET,400x265 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5763,Wall Hung Wash Wash Basin - Sunny,standalone,,SONET,340x230 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5762,Wall Hung Wash Wash Basin - Brio,standalone,,SONET,450x230 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5761,Wall Hung Wash Basin with Half Pedestal - Lunex,standalone,,SONET,560x440 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5760,Wall Hung Wash Basin with Half Pedestal - Carla,standalone,,SONET,590x485 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5759,Wall Hung Wash Basin with Half Pedestal - Normus,standalone,,SONET,500x405 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5758,Wall Hung Wash Basin with Half Pedestal - Silver,standalone,,SONET,470x455 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5757,Wall Hung Wash Basin with Half Pedestal - Yuga,standalone,,SONET,560x450 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5756,"Wall Hung Wash Basin with Half Pedestal - Fabiya (18"" X 14"")",standalone,,SONET,450x355 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5755,Wall Hung Wash Basin with Half Pedestal - Lauret,standalone,,SONET,635x465 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5754,"Wall Hung Wash Basin with Half Pedestal - Camry (18"" X 15"")",standalone,,SONET,455x395 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5753,"Wall Hung Wash Basin with Half Pedestal - Camry (25"" X 22"")",standalone,,SONET,640x560 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5752,"Wall Hung Wash Basin with Half Pedestal - Fabiya (20"" X 16"")",standalone,,SONET,500x400 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
5751,Wall Hung Wash Basin with Half Pedestal - Droop,standalone,,SONET,440x360 MM,WALL HUNG,CERAMIC,<p>WASH BASIN WITH HALF PEDESTAL</p>,7 YEARS
