id,name,structure,parent_id,brand,dimension,installation_type,material,package_content,warranty
4843,Wall Hung Wash Basin - Sun,standalone,,SOCCA,450x300x109 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4842,Wall Hung Wash Basin - Eros,standalone,,SOCCA,470x260x170 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4841,Wall Hung Wash  Basin - Cute,standalone,,SOCCA,440x340x185 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4840,Wall Hung Wash  Basin - Solid,standalone,,SOCCA,440x290x150 MM,WALL HUNG,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4839,Table Top Wash Basin - Pearl,standalone,,SOCCA,480x370x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4838,Table Top Wash Basin - Spring (Thin Rim),standalone,,SOCCA,450x445x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4837,Table Top Wash Basin - Eva,standalone,,SOCCA,500x430x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4836,Table Top Wash Basin - Sofia,standalone,,SOCCA,390x380x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4835,Table Top Wash Basin - Magna,standalone,,SOCCA,420x320x100 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4834,Table Top Wash Basin - Votto,standalone,,SOCCA,400x400x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4833,Table Top Wash Basin - Selio,standalone,,SOCCA,400x400x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4832,Table Top Wash Basin - Vega,standalone,,SOCCA,460x305x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4831,Table Top Wash Basin - Vasca,standalone,,SOCCA,490x380x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4830,Table Top Wash Basin - Cosmo,standalone,,SOCCA,410x410X130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4829,Table Top Wash Basin - Tozzo,standalone,,SOCCA,600x400x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4828,Table Top Wash Basin - Solitaire,standalone,,SOCCA,445x445x160 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4827,Table Top Wash Basin - Gloria,standalone,,SOCCA,560x410x125 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4826,Table Top Wash Basin - Inigo,standalone,,SOCCA,460x415x160 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4825,Table Top Wash Basin - Lucaso (Thin Rim),standalone,,SOCCA,500x365x154 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4824,Table Top Wash Basin - Wave,standalone,,SOCCA,460x450x160 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4823,Table Top Wash Basin - Lily (Thin Rim),standalone,,SOCCA,445x410x100 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4822,Table Top Wash Basin - Greta,standalone,,SOCCA,480x375x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4821,Table Top Wash Basin - Amazon (Thin Rim),standalone,,SOCCA,410x410x155 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4820,Table Top Wash Basin - Ergo,standalone,,SOCCA,585x410x125 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4819,Table Top Wash Basin - Enzo (Thin Rim),standalone,,SOCCA,410x410x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4818,Table Top Wash Basin - Fendi (Thin Rim),standalone,,SOCCA,420x420x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4817,Table Top Wash Basin - Spenta (Thin Rim),standalone,,,,,,,
4816,Table Top Wash Basin - Sydney (Thin Rim),standalone,,SOCCA,415x415x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
4815,Table Top Wash Basin - Real (Thin Rim),standalone,,SOCCA,495x400x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
