Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Disabled Grab Bar U-Shaped Hand Rail (Swing Foldable) - 4214,7014,simple,PLATO4214,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/t4nD8yTR/4214.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disabled Grab Bar U-Shaped Double Hand Rail for Urinal / Wash Basin - 4215,7015,simple,PLATO4215,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/PxyM156y/4215.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disabled Grab Bar Swing Wall Mount - 4219,7016,simple,PLATO4219,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/wTZQXPkC/4219.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disabled Grab Bar T-Shaped Hand Rail - 4216,7017,simple,PLATO4216,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/FKgbQKQv/4216.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disable Grab Bar Floor Mounted WC - 4284,7018,simple,PLATO4284,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/8P2LJvpD/4284.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disable Grab Bar - 4218,7019,simple,PLATO4218,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/kgNR2hYF/4218.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disable Grab Bar L-Shaped - 4217,7020,simple,PLATO4217,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/P5xXb3Sk/4217.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Click Clack (Popup) Waste Coupling - 5101,7021,simple,PLATO5101,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/j5rY1Z42/5101.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Click Clack (Popup) Waste Coupling - 5102,7022,simple,PLATO5102,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/0yMg2Ltr/5102.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Click Clack (Popup) Waste Coupling - 5103,7023,simple,PLATO5103,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Allied,,,https://i.postimg.cc/vmfp55ws/5103.jpg,,,,,,,,,,Material,Brass with Ceramic Cover,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
