Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Square Cockroach Trap - 9017,7051,simple,PLATO9017,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,306,360,Bathroom > Accessories > Allied,,,https://i.postimg.cc/CKnvYTs7/9017.jpg,,,,,,,,,,Material,Stainless Steel,1,0,Size,125mmx125 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Round Plain Grating - 9101,7052,simple,PLATO9101,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,69,81,Bathroom > Accessories > Allied,,,https://i.postimg.cc/jq4MRhPp/9101.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,75 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Round Grating with Frame - 9103,7053,simple,PLATO9103,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,84,99,Bathroom > Accessories > Allied,,,https://i.postimg.cc/15RJXNKf/9103.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,125 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Round Grating with Frame - 9104,7054,simple,PLATO9104,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,138,162,Bathroom > Accessories > Allied,,,https://i.postimg.cc/j22n0Kzd/9104.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,125 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Cockroach Trap Round - 9113,7055,simple,PLATO9113,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,184,216,Bathroom > Accessories > Allied,,,https://i.postimg.cc/PrBpcgNT/9113.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,125mmx125 mm,1,0,,Package Content,Grating Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Heavy Round Grating - 9131,7056,simple,PLATO9131,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,128,150,Bathroom > Accessories > Allied,,,https://i.postimg.cc/HLTx1dmD/9131.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,100 mm,1,0,,Thickness,1.5 mm,1,0,Package Content,Grating Only,1,0,,,,1,0,Brand ,Plato,1,0,,
Square Spl. Grating - 9140,7058,simple,PLATO9140,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,179,210,Bathroom > Accessories > Allied,,,https://i.postimg.cc/HspdL3KX/9140.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,100mmx100 mm,1,0,,Thickness,1.5 mm,1,0,Package Content,Grating Only,1,0,,,,1,0,Brand ,Plato,1,0,,
Square Spl. Grating - 9142,7059,simple,PLATO9142,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,255,300,Bathroom > Accessories > Allied,,,https://i.postimg.cc/SKzpPP2F/9142.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,150mmx150 mm,1,0,,Thickness,1.5 mm,1,0,Package Content,Grating Only,1,0,,,,1,0,Brand ,Plato,1,0,,
Round Cockroach Trap - 9105,7060,simple,PLATO9105,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,352,414,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Gm40Bfj8/9105.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,125 mm,1,0,,Package Content,Cockroach Trap Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Round Cockroach Trap - 9106,7061,simple,PLATO9106,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,352,414,Bathroom > Accessories > Allied,,,https://i.postimg.cc/Pfy0SH3v/9106.jpg,,,,,,,,,,Material,Stainless Steel (SS 304),1,0,Size,125 mm,1,0,,Package Content,Cockroach Trap Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
