Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
"Italian Pan 21""",9015,simple,SNTIP21,1,0,visible,,,,,taxable,,0,0,,0,0,,535,435,280,1,,,1145,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/mDkPbD4F/Italian-Pan.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
"C T Pan 20""",9016,simple,SNTCTP20,1,0,visible,,,,,taxable,,0,0,,0,0,,520,410,190,1,,,1030,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/Gts9y5HL/CT-Pan.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
"C T Pan 23""",9017,simple,SNTCTP23,1,0,visible,,,,,taxable,,0,0,,0,0,,580,440,210,1,,,1285,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/Gts9y5HL/CT-Pan.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
"Spanish Pan 21""",9018,simple,SNTSP21,1,0,visible,,,,,taxable,,0,0,,0,0,,535,435,280,1,,,1430,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/9XvYn3PB/Spanish-Pan.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Pyramid (Soft Close),9019,simple,SNTSEATCVRPYRMDSFT,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,2285,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/BvYx5RQH/Pyramid-Soft-Close.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Cascade,9020,simple,SNTSEATCVRCASCAD,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,770,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/pr8zHTQJ/Cascade.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Cascade (With Jet),9021,simple,SNTSEATCVRCASCADJET,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,855,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/hPLTZXtS/Cascade-Soft-Close.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Anglo (With Jet),9022,simple,SNTSEATCVRANGLOJET,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,855,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/NjbTYZXS/Anglo-with-Jet.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Effo ,9023,simple,SNTSEATCVREFFO,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,655,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/sfSh1MSp/Effo-Regular.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Effo (With Jet),9024,simple,SNTSEATCVREFFOJET,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,740,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/s2NhGSwJ/Effo.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Sandy,9025,simple,SNTSEATCVRSANDY,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,740,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/SNhz9m7H/Sandy.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Seat Cover Sandy (With Jet),9026,simple,SNTSEATCVRSANDYJET,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,830,Bathroom > Toilet > Toiet Seat Cover,,,https://i.postimg.cc/P56L0Ysk/Sandy-Soft-Close.jpg,,,,,,,,,,Material,Plastic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
