Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Urinal - Enigma,1500,simple,URNLENGMA,1,0,visible,,,,,taxable,,1,,,0,0,17.1,340,320,480,1,,2253,2650,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/xdLJT6YT/Enigma.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Urinal - Eureka,1501,simple,URNLEURKA,1,0,visible,,,,,taxable,,1,,,0,0,24.4,420,390,595,1,,1998,2350,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/Px2qPc7h/Eureka.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Urinal - Flat,1502,simple,URNLFLT,1,0,visible,,,,,taxable,,1,,,0,0,9.95,315,285,385,1,,1020,1200,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/MZ3TwCRm/Flat.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Urinal - Smart,1503,simple,URNLSMRT,1,0,visible,,,,,taxable,,1,,,0,0,12.8,385,300,485,1,,978,1150,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/jdWjSM40/Smart.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Urinal - Viola,1504,simple,URNLVOLA,1,0,visible,,,,,taxable,,1,,,0,0,9.6,340,260,435,1,,978,1150,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/ZK15B6w9/Viola.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
City Pan 20 Inch,1505,simple,CPAN20,1,0,visible,,,,,taxable,,1,,,0,0,12.85,530,440,160,1,,723,850,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/vBHYFhZK/City-Pan-20-inch.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Orissa Pan 20 Inch,1506,simple,OPAN20,1,0,visible,,,,,taxable,,1,,,0,0,12.85,530,440,160,1,,723,850,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/g0Gd8s80/Orissa-Pan-20-inch.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Orissa Pan 23 Inch,1507,simple,OPAN23,1,0,visible,,,,,taxable,,1,,,0,0,16.15,590,455,305,1,,808,950,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/Tw468XSy/Orissa-Pan-23-inch.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
