Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
 9185 Wash Basin Vanity,27,simple,FVT9185,1,0,visible,,,,,taxable,,1,,,0,0,,600,480,520,1,,10410,17350,"Bathroom, Bathroom>Vanity Cabinets",,,https://i.postimg.cc/6pfG6QjM/9185.jpg,,,,,,,,,,Material,"Ceramic Basin, PVC Material",1,0,Thichness,All Thickness 15 MM,1,0,,Package Content,"Wash Basin, Main Cabinet, Side Cabinet and Mirror",1,0,Key Feature,"2 Door, Soft Close 304 SS Hinges, 5 MM Mirror",1,0,,Brand,Fovit,1,0,,,1,0,,
9178 Wash Basin Vanity,28,simple,FVT9178,1,0,visible,,,,,taxable,,1,,,0,0,,600,480,520,1,,10410,17350,"Bathroom, Bathroom>Vanity Cabinets",,,https://i.postimg.cc/hG4QXqNc/9178.jpg,,,,,,,,,,Material,"Ceramic Basin, PVC Material",1,0,Thichness,All Thickness 15 MM,1,0,,Package Content,"Wash Basin, Main Cabinet, Side Cabinet and Mirror",1,0,Key Feature,"Soft Close 304 SS Hinges, 1 Door 2 Drawer, 5 MM Mirror",1,0,,Brand,Fovit,1,0,,,1,0,,
9195 Wash Basin Vanity,29,simple,FVT9195,1,0,visible,,,,,taxable,,1,,,0,0,,700,480,520,1,,10170,16950,"Bathroom, Bathroom>Vanity Cabinets",,,https://i.postimg.cc/jqnwwc3w/9195.jpg,,,,,,,,,,Material,"Ceramic Basin, PVC Material",1,0,Thichness,All Thickness 15 MM,1,0,,Package Content,"Wash Basin, Main Cabinet, Side Cabinet and Mirror",1,0,Key Feature,"Soft Close 304 SS Hinges, 2 Door , 5 MM Mirror",1,0,,Brand,Fovit,1,0,,,1,0,,
9147 Wash Basin Vanity,30,simple,FVT9147,1,0,visible,,,,,taxable,,1,,,0,0,,700,480,520,1,,10710,17850,"Bathroom, Bathroom>Vanity Cabinets",,,https://i.postimg.cc/ZRGqxks9/9147.jpg,,,,,,,,,,Material,"Ceramic Basin, PVC Material",1,0,Thichness,All Thickness 15 MM,1,0,,Package Content,"Wash Basin, Main Cabinet, Side Cabinet and Mirror",1,0,Key Feature,"Soft Close 304 SS Hinges, 2 Door 2 Drawer, 5 MM Mirror",1,0,,Brand,Fovit,1,0,,,1,0,,
9609 Wash Basin Vanity,31,simple,FVT9609,1,0,visible,,,,,taxable,,1,,,0,0,,700,480,520,1,,10770,17950,"Bathroom, Bathroom>Vanity Cabinets",,,https://i.postimg.cc/SxgNtYtb/9609.jpg,,,,,,,,,,Material,"Ceramic Basin, PVC Material",1,0,Thichness,All Thickness 15 MM,1,0,,Package Content,"Wash Basin, Main Cabinet, Side Cabinet and Mirror",1,0,Key Feature,"Soft Close 304 SS Hinges, 1 Door 2 Drawer, 5 MM Mirror",1,0,,Brand,Fovit,1,0,,,1,0,,
