Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Table Top Wash Basin - Aris,8155,simple,SNTTTWBARIS,1,0,visible,,,,,taxable,,0,0,,0,0,,450,450,,1,,3281,3860,Bathroom > Wash Basin > Counter Top Basins,,,https://i.postimg.cc/0j7SGx38/Aris.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop Round White Matt,8156,simple,SNTTTWBSRNDMAT,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,6073,7145,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/Zqvwyc2P/Scoop-Round-White.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop Round-Orange Matt,8157,simple,SNTTTWBSRNDORNGMAT,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,6073,7145,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/sgqcyWxM/Scoop-Round-Orange.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop Round-Red Matt,8158,simple,SNTTTWBSRNDREDMAT,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,6073,7145,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/dt0my6T7/Scoop-Round-Red.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop Round-Black Matt,8159,simple,SNTTTWBSRNDBLKMAT,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,6073,7145,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/26whqLkF/Scoop-Round-Black.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop Round R-001,8160,simple,SNTTTWBSRNDR001,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,7285,8570,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/rmQRy6jf/Scoop-R-001.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop S-002,8161,simple,SNTTTWBSCOOPS002,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,7285,8570,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/d0J0hHLp/Scoop-S-002-Green.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop Square-Caramel (Matte),8162,simple,SNTTTWBSSQRECARAMLMAT,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,6073,7145,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/XNtdrW3P/Scoop-Square-Caramel.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Scoop Square-Mocca (Matte),8163,simple,SNTTTWBSSQREMOCAMAT,1,0,visible,,,,,taxable,,0,0,,0,0,,420,420,115,1,,6073,7145,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/GpMsdwqq/Scoop-Square-Mocca.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Table Top Wash Basin - Strawberry,8164,simple,SNTTTWBSTRWBRY,1,0,visible,,,,,taxable,,0,0,,0,0,,460,460,,1,,6316,7430,Bathroom > Wash Basin > Art Basins,,,https://i.postimg.cc/Kvy4X8mm/Strawberry.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
