Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Table Top Basin - Stilo,1037,simple,TTBSTILO,1,0,visible,,,,,taxable,,1,,,0,0,,435,435,135,1,,2210,2600,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/52HQcRtj/Stilo-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Slik,1038,simple,TTBSLIK,1,0,visible,,,,,taxable,,1,,,0,0,,405,405,140,1,,2763,3250,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/Xv5ZqHtq/Slik-Pink-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Sofia,1039,simple,TTBSOFIA,1,0,visible,,,,,taxable,,1,,,0,0,,500,365,145,1,,2763,3250,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/9fPWsvvd/SOFIA-Yellow-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Nexa,1040,simple,TTBNEXA,1,0,visible,,,,,taxable,,1,,,0,0,,550,330,150,1,,2763,3250,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/fyGpzbdJ/Nexa-Green-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - LUV,1041,simple,TTBLUV,1,0,visible,,,,,taxable,,1,,,0,0,,550,370,150,1,,3315,3900,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/3rzx4CCD/Luv-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Geo,1042,simple,TTBGEO,1,0,visible,,,,,taxable,,1,,,0,0,,600,400,140,1,,2720,3200,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/KYcGS9FC/geo-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Topaz,1043,simple,TTBTOPAZ,1,0,visible,,,,,taxable,,1,,,0,0,,475,370,130,1,,2083,2450,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/rs4cC3CR/Topaz-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Sofi,1044,simple,TTBSOFI,1,0,visible,,,,,taxable,,1,,,0,0,,390,390,140,1,,2338,2750,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/7YgwCvZp/Sofi-Yellow-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Roma,1046,simple,TTBROMA,1,0,visible,,,,,taxable,,1,,,0,0,,420,420,130,1,,2763,3250,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/hGmrn0rb/Roma-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Fern,1047,simple,TTBFERN,1,0,visible,,,,,taxable,,1,,,0,0,,600,380,185,1,,2720,3200,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/7hK19tHD/Fern-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Orbis,1048,simple,TTBORBIS,1,0,visible,,,,,taxable,,1,,,0,0,,420,320,100,1,,2168,2550,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/prShywV9/Orbis-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Beetle,1049,simple,TTBBEETLE,1,0,visible,,,,,taxable,,1,,,0,0,,600,400,105,1,,2295,2700,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/3xm4JfsR/Beetle-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Vero,1050,simple,TTBVERO,1,0,visible,,,,,taxable,,1,,,0,0,,600,360,100,1,,2295,2700,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/5002vsR8/vero-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Quadra,1051,simple,TTBQUADRA,1,0,visible,,,,,taxable,,1,,,0,0,,410,360,120,1,,1828,2150,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/sDpG3Nd2/Quadra-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
Table Top Basin - Origio,1052,simple,TTBORGIO,1,0,visible,,,,,taxable,,1,,,0,0,,460,460,150,1,,1828,2150,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/6qCq5yPP/Origio-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
