Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Table Top Basin - Solitaire,1045,simple,TTBSOLITAIRE,1,0,visible,,,,,taxable,,1,,,0,0,,445,445,160,1,,1913,2250,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/qvnVv9j1/Solitaire.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Tozzo,1046,simple,TTBTOZZO,1,0,visible,,,,,taxable,,1,,,0,0,,600,400,140,1,,2720,3200,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/Zng2Tc3k/Tozzo.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Cosmo,1047,simple,TTBCOSMO,1,0,visible,,,,,taxable,,1,,,0,0,,410,410,130,1,,1785,2100,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/ncjN3ybn/Cosmo.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Vasca,1048,simple,TTBVASCA,1,0,visible,,,,,taxable,,1,,,0,0,,490,380,130,1,,2125,2500,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/rw53k5wb/Vasca.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Vega,1049,simple,TTBVEGA,1,0,visible,,,,,taxable,,1,,,0,0,,460,305,130,1,,1870,2200,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/C12mDKKk/Vega.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Selio,1050,simple,TTBSELIO,1,0,visible,,,,,taxable,,1,,,0,0,,400,400,140,1,,2125,2500,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/MpDkByJB/Selio.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Votto,1051,simple,TTBVOTTO,1,0,visible,,,,,taxable,,1,,,0,0,,400,400,150,1,,2508,2950,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/2SCMCVLS/Votto.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Magna,1052,simple,TTBMAGNA,1,0,visible,,,,,taxable,,1,,,0,0,,420,320,100,1,,1488,1750,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/5yMppRw2/Magna.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Sofia,1053,simple,TTBSOFIA,1,0,visible,,,,,taxable,,1,,,0,0,,390,380,130,1,,1615,1900,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/yY1yd9jt/Sofia.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Table Top Basin - Eva,1054,simple,TTBEVA,1,0,visible,,,,,taxable,,1,,,0,0,,500,430,140,1,,2763,3250,Bathroom > Wash Basin > Counter Top,,,https://i.postimg.cc/mrCHV2V7/Eva.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
