ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
4013,simple,23793,Angel Swan Neck - 23793,1,0,visible,,,,,taxable,,1,15,,0,0,,,,,1,,1517,1785,Taps & Mixers,,,https://i.postimg.cc/cLWNHMJ2/23793.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4014,simple,23535,Angel Sink Cock Extended Spout - 23535,1,0,visible,,,,,taxable,,1,27,,0,0,,,,,1,,1551,1825,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/Jh6wPfQC/23535.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4015,simple,26049k,Opal Exposed Kit for Single Lever Diverter Body High Flow (Suitable for ALD-049) - 26049K,1,0,visible,,,,,taxable,,1,9,,0,0,,,,,1,,1360,1600,Taps & Mixers,,,https://i.postimg.cc/rwwQQKZz/26049K.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Diverter Body (High Flow),1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4016,simple,26019,Opal Pillar Cock Extended Body - 26019,1,0,visible,,,,,taxable,,1,9,,0,0,,,,,1,,1699,1999,Taps & Mixers,,,https://i.postimg.cc/ncc4tN4P/26019.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4017,simple,26333,Opal Wall Mixer with Bend (High Flow) - 26333,1,0,visible,,,,,taxable,,1,18,,0,0,,,,,1,,3226,3795,Taps & Mixers,,,https://i.postimg.cc/k4vb0yBC/26333.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4018,simple,26445,Opal Wall Mixer 3 in 1 System (High Flow) - 26445,1,0,visible,,,,,taxable,,1,6,,0,0,,,,,1,,3396,3995,Taps & Mixers,,,https://i.postimg.cc/nrVDpQDD/26445.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4019,simple,26152,Opal Concealed Stop Cock 20mm - 26152,1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,1020,1200,Taps & Mixers,,,https://i.postimg.cc/SQV9VVB7/26152.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Concealed Stop Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4020,simple,26103,Opal Angle Cock - 26103,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,595,700,Bathroom > Accessories > Angle Cock,,,https://i.postimg.cc/zXBgQK5m/26103.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Angle Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4021,simple,26011,Opal Pillar Cock - 26011,1,0,visible,,,,,taxable,,1,59,,0,0,,,,,1,,849,999,Taps & Mixers,,,https://i.postimg.cc/6qS5g7Lw/26011.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4022,simple,26798,Opal Swan Neck Extended Spout - 26798,1,0,visible,,,,,taxable,,1,41,,0,0,,,,,1,,1445,1700,Taps & Mixers,,,https://i.postimg.cc/TwNR5ysm/26798.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4023,simple,26522,Opal Sink Cock -26522,1,0,visible,,,,,taxable,,1,19,,0,0,,,,,1,,1318,1550,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/Mp0qb34z/26522.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4024,simple,26535,Opal Sink Cock Extended Spout - 26535,1,0,visible,,,,,taxable,,1,54,,0,0,,,,,1,,1445,1700,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/d1fYtb7j/26535.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4025,simple,27019,Euromix Pillar Cock Extended Body - 27019,1,0,visible,,,,,taxable,,1,64,,0,0,,,,,1,,1692,1990,Taps & Mixers,,,https://i.postimg.cc/nhxCJmfc/27019.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4026,simple,27152,Euromix Concealed Stop Cock 20 mm - 27152,1,0,visible,,,,,taxable,,1,13,,0,0,,,,,1,,1020,1200,Taps & Mixers,,,https://i.postimg.cc/2Sx385Cd/27152.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Concealed Stop Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4027,simple,27103,Euromix Angle Cock,1,0,visible,,,,,taxable,,1,104,,0,0,,,,,1,,638,750,Bathroom > Accessories > Angle Cock,,,https://i.postimg.cc/6qRpsWHv/27103.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Angle Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4028,simple,27049K,Euromix Exposed Kit for Single Lever Diverter Body High Flow (Suitable for ALD 049) - 27049K,1,0,visible,,,,,taxable,,1,109,,0,0,,,,,1,,893,1050,Taps & Mixers,,,https://i.postimg.cc/wj9TPdD1/27049K.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Diverter Body (High Flow),1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4029,simple,27011,Euromix Pillar Cock - 27011,1,0,visible,,,,,taxable,,1,37,,0,0,,,,,1,,935,1100,Taps & Mixers,,,https://i.postimg.cc/zGpXYPk0/27011.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4030,simple,27798,Euromix Swan Neck Extended Spout - 27798,1,0,visible,,,,,taxable,,1,21,,0,0,,,,,1,,1445,1700,Taps & Mixers,,,https://i.postimg.cc/8PS1JVKZ/27793-27798.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4031,simple,27030,Euromix Single Lever Basin Mixer Extended Body - 27030,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,3825,4500,Taps & Mixers,,,https://i.postimg.cc/QxJjcnvh/27030.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Basin Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4032,simple,27522,Euromix Sink Cock - 27522,1,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,1335,1570,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/4NPTYHh3/27522-27535.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4033,simple,27535,Euromix Sink Cock Extended Spout - 27535,1,0,visible,,,,,taxable,,1,15,,0,0,,,,,1,,1445,1700,Kitchen > Kitchen Mixers,,,https://i.postimg.cc/4NPTYHh3/27522-27535.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
